bundle_name,subtitle,archetype,book_count,included_titles,description,price_tier,emotional_selling_points
The Gray Man Complete Course,Invisible in Plain Sight,Urban Survivor + Digital,5,"The Art of Urban Camouflage, The Faceless Citizen, The Urban Navigator, Anonymous Operator, Neighborhood Threat Assessment","Five guides for urban invisibility and threat evasion. Master physical camouflage, biometric defeat, navigation, digital anonymity, and threat recognition. Learn to move through dangerous environments without being noticed or remembered. The gray man survives by never being seen. Become a ghost in the machine.","$67 (Specialist)","FEAR: Being targeted. TACTICAL: Operational security mastery. SURVIVAL: Invisible is invincible."
The Hardcore Homesteader,Advanced Self-Sufficiency Skills,Homesteader (Advanced),8,"The Cattle Baron, The Grain Lord, The Village Blacksmith, Beekeeping & Pollination, Aquaponics & Hydroponics, Dairy Processing, Fiber Production, Timber & Lumber Production","Eight advanced homesteading guides beyond basics. Large livestock, grain production, blacksmithing, beekeeping, aquaponics, dairy, fiber, and lumber. This is production-scale homesteading for serious practitioners. Move from backyard gardening to genuine agricultural operation. Build an empire from the land.","$87 (Advanced)","PRIDE: Mastery of land. AMBITION: Build beyond subsistence. LEGACY: Generational wealth from soil."
The Tactical Parent,Raising Warriors Not Victims,Family Protector,6,"Teaching Preparedness to Kids, Age-Appropriate Survival Skills, The Tactical Parent, Home Defense With Kids, Family Firearms Training, Raising Kids in Permanent Crisis","Six guides for raising capable, resilient children in dangerous times. Age-appropriate training, weapons education, home defense, long-term crisis adaptation, and psychological preparation. Your children will inherit chaos. Prepare them to dominate it. Raise warriors disguised as kids.","$67 (Family Essential)","LOVE: Prepare them for reality. PRIDE: Raise strong children. LEGACY: Create the resilient generation."
The Financial Doomsday Portfolio,Protecting Wealth from Collapse,Financial Survivalist,7,"Precious Metals Portfolio Tracker, Cryptocurrency Security, The Last Landlord, Offshore Banking, Wealth Preservation in Crisis, Skills-Based Income, Debt Collection Defense","Seven guides for comprehensive financial crisis preparation. Covers metals, crypto, real estate, offshore structures, income skills, and debt defense. Protect existing wealth while positioning for collapse opportunities. The financially prepared don't just survive economic collapse—they profit from it.","$87 (High Value)","GREED: Profit from others' panic. FEAR: Lose everything. SMART: Multiple failure-proof strategies."
The Primitive Technology Collection,Stone Age to Information Age,Wilderness Survivor,6,"The Primitive Hunter, Primitive Fire Starting, The Primitive Armory, Ancient Preservation Methods, Wilderness Leather & Textiles, Primitive Engineering","Six books on primitive technology and stone-age living skills. Weapons crafting, fire without matches, food preservation without electricity, leather working, textile production, and primitive engineering. Master the technologies that built civilization. When modernity fails, primitivism prevails.","$67 (Heritage Skills)","HOPE: Ancient skills never die. PRIDE: Ancestral mastery. INDEPENDENCE: Need nothing modern."
The Apartment Prepper,Urban Survival in 900 Square Feet,Urban Survivor,5,"Urban Shelter & Safe House, Rooftop Survival & Garden, Apartment Fortification, Covert Urban Livestock, Urban Water Collection","Five guides specifically for apartment and condo dwellers with limited space. Covers fortification, rooftop gardening, covert food production, water collection, and safe house establishment. You don't need land to prepare. You need knowledge. Turn your apartment into a fortress and farm.","$57 (Urban Essential)","HOPE: You CAN prepare in cities. CLEVER: Maximize limited space. ADAPTATION: Urban homesteading works."
The Medical Apocalypse Library,Complete Healthcare Collapse Prep,Field Medic,10,"Combat Casualty Care, The Crisis Midwife, The Herbal Medic, Surgical Procedures Advanced, Mental Health Crisis, Veterinary Crossover, Radiation Exposure, Long-Term Chronic Illness, The Grid-Down Doctor, Medication Compounding","Ten comprehensive medical guides for complete healthcare system failure. Battlefield trauma, childbirth, surgery, psychiatry, veterinary crossover, radiation treatment, chronic disease management, and medication production. Become a complete medical provider when hospitals close permanently.","$127 (Ultimate Collection)","FEAR: Medical system collapse. RESPONSIBILITY: Save your community. CAPABILITY: Replace the entire medical system."
The Disaster-Specific Bundle,Earthquake Hurricane Volcano,Environment Specialist,6,"Earthquake Zone Preparedness, Hurricane/Typhoon Country, Wildfire Risk Zones, Volcanic Region Survival, Flood Plain Living, Tornado Alley Preparedness","Six region and disaster-specific guides for common American catastrophes. Covers earthquakes, hurricanes, wildfires, volcanoes, floods, and tornadoes. Generic advice kills. Specific preparation saves. Match your preparation to your actual regional threats.","$67 (Regional)","FEAR: Your specific disaster. LOCAL: Targeted to your area. PRACTICAL: Not generic advice."
The Patriot's Defense Library,2A Rights and Tactical Skills,Family Protector + Urban,6,"Home Defense With Kids, Family Firearms Training, The City Defender, Combat Casualty Care, Tactical Communication, Crisis Action Plans","Six books combining Second Amendment rights, tactical defense, medical support, and emergency protocols. For families and individuals serious about armed defense of home and rights. Comprehensive tactical education from weapons to medicine to communications.","$77 (Tactical)","PRIDE: Defend what's yours. RIGHTS: 2A is insurance. CAPABILITY: Stop threats effectively."
The Off-Grid Independence Complete,Total Infrastructure Autonomy,Homesteader + Environment,8,"The Off-Grid Water & Energy Bible, Well Drilling, Timber & Lumber, The Village Blacksmith, Grain Production, Tractor Repair, Land Clearing, Fence Building","Eight guides for complete off-grid infrastructure. Water, power, construction materials, metalwork, grain, equipment repair, land management, and security. Build a compound that operates independently of all external systems. Total infrastructure autonomy from grid to gate.","$97 (Infrastructure)","INDEPENDENCE: Need no one. CAPABILITY: Build anything. FREEDOM: True autonomy."
The Herbal Medicine Complete,Plants That Heal Everything,Field Medic + Homesteader,6,"The Herbal Medic, Medicinal Herb Garden, Natural Pain Relief, Antibiotic Alternatives, The Forager's Bible, Essential Oil First Aid","Six comprehensive herbal medicine guides from garden to pharmacy. Growing medicinal herbs, wild foraging, natural antibiotics, pain management, and essential oil therapeutics. Complete pharmaceutical replacement using plants. Ancient medicine for modern collapse.","$67 (Healing Arts)","HOPE: Nature heals. INDEPENDENCE: Be your own pharmacy. WISDOM: Ancient knowledge works."
The Bug-Out Master Bundle,Evacuation Perfected,All Archetypes,7,"Ultimate Bug-Out Bag Checklist, Urban Bug-Out Bag, Desert Go-Bag, Arctic Go-Bag, Jungle Go-Bag, Coastal Go-Bag, The Family Bug-Out Guide","Seven specialized bug-out guides for every scenario and environment. Complete evacuation preparation from gear to family coordination across all climates. Most people pack wrong. Most die. Perfect your evacuation strategy for any scenario.","$77 (Emergency Essential)","FEAR: Wrong gear kills. PREPARED: Environment-specific. FAMILY: Get everyone out alive."
The Lone Wolf Collection,Solo Survival Mastery,Wilderness + Urban,6,"The Solitary Survivor, The Long-Term Wilderness Survivor, The Long-Term Urban Survivor, Psychological Survival, Living Without Cell Phone, The Phoneless Life","Six books for individuals preparing or operating alone. Psychological survival in isolation, long-term solo wilderness and urban living, and disconnection from technology. For those who prefer solitude or have no choice. Survive and thrive alone.","$67 (Solo Operator)","INDEPENDENCE: Need no one. PSYCHOLOGICAL: Master solitude. CAPABLE: Sole operator."
The Woman Prepper's Library,Female-Specific Preparedness,All Archetypes (Female Focus),7,"The Crisis Midwife, Women's Health Field Guide, Female Self-Defense, Female Gray Man, Pregnancy During Crisis, Mother's Bug-Out, Single Mother Survival","Seven guides addressing female-specific preparedness concerns. Childbirth, gynecological health, female-specific self-defense, camouflage strategies, pregnancy survival, mother-child evacuation, and single-mother scenarios. Most prep content is male-focused. This isn't.","$77 (Female Essential)","EMPOWERMENT: Prep for your reality. SPECIFIC: Female-body concerns. CAPABLE: Woman-focused solutions."
The Senior Prepper's Collection,Preparedness for Older Adults,All Archetypes (Senior Focus),6,"Senior Mobility Prep, Elder Medical Care, Fixed-Income Prepping, Age-Appropriate Defense, Senior Bug-Out, Medication Dependence Solutions","Six books addressing senior-specific challenges. Mobility limitations, medical needs, budget constraints, appropriate defense options, evacuation with limitations, and medication shortage solutions. Age doesn't end preparedness—it requires different preparation.","$67 (Senior Special)","DIGNITY: Prep at any age. ADAPTED: Age-appropriate strategies. CAPABLE: Never too old to prepare."
The Resistance Network Builder,Community Organizing for Crisis,All Archetypes,6,"Creating Community Currency, Inter-Homestead Trade, Establishing Security Networks, Resistance Network Communication, Community Defense Coordination, Post-Collapse Governance","Six guides for building resilient community networks. Local currencies, trade networks, security cooperation, communications, collective defense, and governance. Individuals survive. Communities thrive. Build the network before you need it.","$77 (Community)","COOPERATION: Stronger together. NETWORK: Build before crisis. LEADERSHIP: Organize your community."
The Child's Complete Safety System,Birth Through Teenager,Family Protector,8,"Newborn & Infant Survival, The Littlest Survivors, Age-Appropriate Survival, Teaching Prep to Kids, The Tactical Teen, Special Needs Children, Calming Anxious Kids, Child Trauma Recovery","Eight books covering complete child preparation from birth through teen years. Infant care, toddler safety, age-appropriate skills, teen-specific threats, special needs, psychological support, and trauma recovery. Comprehensive child protection across all ages and scenarios.","$87 (Complete Family)","LOVE: Protect at every age. COMPREHENSIVE: Birth through teen. PREPARED: No age forgotten."
The Scarcity Survival Library,When Everything Runs Out,All Archetypes,8,"Formula Shortage Alternatives, Medication Shortage Solutions, Fuel Shortage Adaptation, Food Shortage Strategies, Water Scarcity Response, Ammunition Alternatives, Power Grid Failure, Supply Chain Collapse","Eight guides for major resource scarcities. Formula, medication, fuel, food, water, ammunition, power, and general supply chain failure. When shortages hit, adaptation determines survival. Master living with nothing available.","$87 (Scarcity Prep)","FEAR: Everything runs out. ADAPTATION: Live with less. PREPARATION: Ready for nothing."
The Tactical Skills Accelerator,From Zero to Operator,Urban + Defense,7,"The City Defender, Combat Casualty Care, Tactical Communication, The Gray Man Course, Situational Awareness Mastery, Defensive Driving, Threat Recognition","Seven books building complete tactical skillset. Defense, medical, communication, camouflage, awareness, driving, and threat assessment. Transform from average citizen to capable operator. Tactical training condensed into comprehensive self-education.","$87 (Tactical Training)","PRIDE: Become dangerous. CAPABILITY: Operator-level skills. TRAINING: Complete tactical education."
The Long-Term Crisis Collection,Years Not Days,All Archetypes,8,"The Long-Term Wilderness Survivor, The Long-Term Urban Survivor, Raising Kids in Permanent Crisis, The Solitary Survivor, Long-Term Medical Care, The Resilient Household, Year in Life of Homesteader, The Permanent Bug-Out","Eight books focused on multi-year or permanent crisis survival. Beyond 72-hour bags and short-term thinking. This is for sustained collapse, climate change, or permanent societal breakdown. When the crisis never ends, these skills determine who thrives.","$97 (Long-Term)","REALISM: It won't end quickly. ENDURANCE: Years of crisis. THRIVING: Beyond mere survival."
The Complete Prepper Codex Collection,ALL 200 Books - Nothing Held Back,All Archetypes,200,"All 160 existing + All 40 new titles - Complete Prepper Library","The ultimate prepper library. Every single book in the Prepper Codex catalog—160 existing titles plus 40 new releases. Complete coverage of wilderness, urban, medical, financial, digital, family, homesteading, and environment-specific survival. Nothing held back. Nothing missing. The most comprehensive preparedness education available anywhere. Own the complete knowledge base for every scenario.","$997 (Ultimate)","COMPLETENESS: Own everything. COMPREHENSIVE: Every scenario covered. MASTERY: Complete prepper education."
