archetype,gap_topic,title_option_1,title_option_2,title_option_3,subtitle,emotional_hook,emotional_label,priority
Family Protector,Raising Kids in Permanent Crisis,The Resilient Generation,Children of Collapse,Parenting the Long Emergency,Raising Emotionally Healthy Kids in Long-Term Societal Breakdown,"This isn't a 72-hour emergency. This is years. Maybe decades. Can your kids psychologically survive?",FEAR,MEDIUM
Homesteader,Large Livestock Management,The Cattle Baron,Big Animals Big Investment,Homestead Livestock at Scale,Managing Cattle Horses and Pigs for Serious Food Production,"Chickens feed a family. Cattle feed a community. Ready to scale up to serious livestock?",PRIDE,HIGH
Homesteader,Beekeeping & Pollination,The Bee Master,Liquid Gold,Hives and Honey,Beekeeping for Pollination Honey Production and Medicine,"Bees mean pollination. Pollination means food. Without bees, your garden fails. Plus: liquid gold (honey) for trade.",HOPE,HIGH
Homesteader,Aquaponics & Hydroponics,The Water Farmer,Fish and Plants,Soil-Free Survival,Growing Food Year-Round Without Soil Using Aquaponics and Hydroponics,"No land? Bad soil? Short growing season? Water-based growing systems solve all three problems.",HOPE,MEDIUM
Homesteader,Grain Production & Milling,The Grain Lord,From Seed to Bread,The Staff of Life,Growing Wheat Corn Rice and Milling Your Own Flour,"Vegetables are important. But grains are SURVIVAL. Learn to grow and process the foundation of civilization.",PRIDE,HIGH
Homesteader,Blacksmithing & Tool Making,The Village Blacksmith,Fire and Iron,Essential Metalwork,Blacksmithing Tool Repair and Making What You Need from Metal,"When tools break and hardware stores are closed, the blacksmith becomes the most valuable person in the community.",PRIDE,MEDIUM
Urban Survivor,High-Rise Escape Techniques,Vertical Escape,Rappelling to Freedom,Skyscraper Survival,Escaping High-Rise Buildings Fires and Terrorist Attacks,"You're 40 floors up. The stairwell is blocked. Fire below. No rescue coming. Now what?",FEAR,HIGH
Urban Survivor,Subway & Underground,The Tunnel Rats,Below the Streets,Underground Urban Survival,Using Subway Tunnels Sewers and Underground Infrastructure,"When the surface is impassable, go underground. Learn the hidden city beneath the city.",HOPE,MEDIUM
Urban Survivor,Rooftop Survival & Garden,The Rooftop Refuge,Urban High Ground,Above the Chaos,Rooftop Gardens Escape Routes and Helicopter Rescue from Buildings,"The roof is your last resort—and your secret garden. Master vertical urban survival.",HOPE,HIGH
Urban Survivor,Dumpster Diving Mastery,The Urban Scavenger,Living on Waste,Free Food Forever,Professional Dumpster Diving for Food Supplies and Survival,"Americans throw away 40% of food produced. Learn to reclaim it safely and systematically.",ANGER,HIGH
